d_nm,amp_scale
137.0769319,14.97746344
137.1842449,15.03715996
137.291642,15.09706398
137.3991231,15.15717601
137.5066884,15.21749658
137.6143379,15.2780262
137.7220717,15.33876541
137.8298898,15.39971472
137.9377924,15.46087464
138.0457794,15.52224571
138.1538509,15.58382844
138.262007,15.64562336
138.3702479,15.70763098
138.4785734,15.76985182
138.5869838,15.83228641
138.695479,15.89493527
138.8040592,15.95779891
138.9127244,16.02087787
139.0214746,16.08417265
139.13031,16.14768379
139.2392306,16.2114118
139.3482364,16.27535719
139.4573276,16.3395205
139.5665042,16.40390225
139.6757663,16.46850295
139.7851139,16.53332312
139.8945471,16.59836328
140.004066,16.66362396
140.1136706,16.72910568
140.223361,16.79480894
140.3331373,16.86073428
140.4429995,16.92688222
140.5529478,16.99325326
140.6629821,17.05984794
140.7731026,17.12666677
140.8833092,17.19371027
140.9936022,17.26097896
141.1039815,17.32847335
141.2144472,17.39619397
141.3249994,17.46414133
141.4356381,17.53231596
141.5463634,17.60071836
141.6571755,17.66934906
141.7680743,17.73820857
141.8790599,17.80729741
141.9901324,17.8766161
142.1012918,17.94616515
142.2125383,18.01594508
142.3238718,18.08595641
142.4352925,18.15619965
142.5468005,18.22667531
142.6583957,18.29738391
142.7700783,18.36832597
142.8818484,18.439502
142.9937059,18.51091252
143.105651,18.58255803
143.2176838,18.65443905
143.3298042,18.72655609
143.4420125,18.79890967
143.5543085,18.8715003
143.6666925,18.94432849
143.7791645,19.01739475
143.8917245,19.09069959
144.0043727,19.16424353
144.117109,19.23802707
144.2299336,19.31205072
144.3428465,19.38631499
144.4558478,19.4608204
144.5689376,19.53556744
144.6821159,19.61055663
144.7953828,19.68578848
144.9087384,19.76126349
145.0221827,19.83698217
145.1357158,19.91294502
145.2493379,19.98915256
145.3630488,20.06560528
145.4768488,20.14230369
145.5907379,20.21924829
145.7047161,20.2964396
145.8187836,20.3738781
145.9329404,20.45156431
146.0471865,20.52949873
146.1615221,20.60768185
146.2759472,20.68611418
146.3904619,20.76479622
146.5050662,20.84372847
146.6197602,20.92291142
146.734544,21.00234559
146.8494177,21.08203145
146.9643814,21.16196952
147.079435,21.24216028
147.1945787,21.32260425
147.3098125,21.4033019
147.4251366,21.48425373
147.5405509,21.56546025
147.6560556,21.64692194
147.7716507,21.72863929
147.8873363,21.81061281
148.0031125,21.89284297
148.1189793,21.97533028
148.2349368,22.05807521
148.3509851,22.14107827
148.4671242,22.22433994
148.5833543,22.30786071
148.6996754,22.39164106
148.8160875,22.47568149
148.9325908,22.55998247
149.0491852,22.64454451
149.165871,22.72936807
149.2826481,22.81445364
149.3995166,22.89980171
149.5164766,22.98541276
149.6335282,23.07128728
149.7506714,23.15742573
149.8679063,23.24382861
149.985233,23.33049639
150.1026516,23.41742955
150.220162,23.50462857
150.3377645,23.59209392
150.455459,23.67982609
150.5732457,23.76782555
150.6911246,23.85609276
150.8090958,23.94462822
150.9271593,24.03343238
151.0453152,24.12250573
151.1635637,24.21184873
151.2819047,24.30146186
151.4003384,24.39134558
151.5188648,24.48150036
151.637484,24.57192668
151.756196,24.66262499
151.875001,24.75359577
151.993899,24.84483948
152.11289,24.93635659
152.2319742,25.02814756
152.3511517,25.12021286
152.4704224,25.21255293
152.5897866,25.30516826
152.7092441,25.39805929
152.8287952,25.49122649
152.9484399,25.58467032
153.0681783,25.67839123
153.1880103,25.77238969
